-----------------------------------------------Training-----------------------------------------------

{'loss': 0.6292, 'grad_norm': 40.738868713378906, 'learning_rate': 1.977777777777778e-05, 'epoch': 0.03}                                                                                      
{'loss': 0.2437, 'grad_norm': 0.08705969899892807, 'learning_rate': 1.3555555555555557e-05, 'epoch': 0.97}                                                                                    
{'loss': 0.2706, 'grad_norm': 18.9974365234375, 'learning_rate': 1.3333333333333333e-05, 'epoch': 1.0}
{'loss': 0.2108, 'grad_norm': 0.0807526484131813, 'learning_rate': 1.3111111111111113e-05, 'epoch': 1.03}                                                                                     
{'loss': 0.2229, 'grad_norm': 22.122976303100586, 'learning_rate': 1.288888888888889e-05, 'epoch': 1.07}                                                                                      
{'loss': 0.2173, 'grad_norm': 5.069599151611328, 'learning_rate': 1.2666666666666667e-05, 'epoch': 1.1}                                                                                       
{'loss': 0.2335, 'grad_norm': 19.98796272277832, 'learning_rate': 1.2444444444444446e-05, 'epoch': 1.13}                                                                                      
{'loss': 0.1924, 'grad_norm': 0.24383433163166046, 'learning_rate': 1.2222222222222224e-05, 'epoch': 1.17}                                                                                    
{'loss': 0.2166, 'grad_norm': 48.81496047973633, 'learning_rate': 1.2e-05, 'epoch': 1.2}                                                                                                      
{'loss': 0.2051, 'grad_norm': 0.12255246937274933, 'learning_rate': 1.177777777777778e-05, 'epoch': 1.23}                                                                                     
{'loss': 0.2178, 'grad_norm': 0.03555190935730934, 'learning_rate': 1.1555555555555556e-05, 'epoch': 1.27}                                                                                    
{'loss': 0.2057, 'grad_norm': 18.614171981811523, 'learning_rate': 1.1333333333333334e-05, 'epoch': 1.3}                                                                                      
{'loss': 0.2139, 'grad_norm': 0.201649010181427, 'learning_rate': 1.1111111111111113e-05, 'epoch': 1.33}                                                                                      
{'loss': 0.2014, 'grad_norm': 26.586769104003906, 'learning_rate': 1.088888888888889e-05, 'epoch': 1.37}                                                                                      
{'loss': 0.2039, 'grad_norm': 12.095670700073242, 'learning_rate': 1.0666666666666667e-05, 'epoch': 1.4}                                                                                      
{'loss': 0.2127, 'grad_norm': 0.14119009673595428, 'learning_rate': 1.0444444444444445e-05, 'epoch': 1.43}                                                                                    
{'loss': 0.2111, 'grad_norm': 15.115151405334473, 'learning_rate': 1.0222222222222223e-05, 'epoch': 1.47}                                                                                     
{'loss': 0.1799, 'grad_norm': 22.051109313964844, 'learning_rate': 1e-05, 'epoch': 1.5}                                                                                                       
{'loss': 0.1953, 'grad_norm': 38.33659362792969, 'learning_rate': 9.777777777777779e-06, 'epoch': 1.53}                                                                                       
{'loss': 0.1969, 'grad_norm': 5.0825347900390625, 'learning_rate': 9.555555555555556e-06, 'epoch': 1.57}                                                                                      
{'loss': 0.1983, 'grad_norm': 0.05698969215154648, 'learning_rate': 9.333333333333334e-06, 'epoch': 1.6}                                                                                      
{'loss': 0.2191, 'grad_norm': 1.9631590843200684, 'learning_rate': 9.111111111111112e-06, 'epoch': 1.63}                                                                                      
{'loss': 0.1981, 'grad_norm': 0.1465357095003128, 'learning_rate': 8.888888888888888e-06, 'epoch': 1.67}                                                                                      
{'loss': 0.2092, 'grad_norm': 19.101194381713867, 'learning_rate': 8.666666666666668e-06, 'epoch': 1.7}                                                                                       
{'loss': 0.2219, 'grad_norm': 0.16469532251358032, 'learning_rate': 8.444444444444446e-06, 'epoch': 1.73}                                                                                     
{'loss': 0.191, 'grad_norm': 0.08498114347457886, 'learning_rate': 8.222222222222222e-06, 'epoch': 1.77}                                                                                      
{'loss': 0.2114, 'grad_norm': 0.3860427141189575, 'learning_rate': 8.000000000000001e-06, 'epoch': 1.8}                                                                                       
{'loss': 0.2036, 'grad_norm': 50.879756927490234, 'learning_rate': 7.77777777777778e-06, 'epoch': 1.83}                                                                                       
{'loss': 0.2011, 'grad_norm': 0.03847454860806465, 'learning_rate': 7.555555555555556e-06, 'epoch': 1.87}                                                                                     
{'loss': 0.2279, 'grad_norm': 18.540618896484375, 'learning_rate': 7.333333333333333e-06, 'epoch': 1.9}                                                                                       
{'loss': 0.2054, 'grad_norm': 17.209007263183594, 'learning_rate': 7.111111111111112e-06, 'epoch': 1.93}                                                                                      
{'loss': 0.1993, 'grad_norm': 13.916961669921875, 'learning_rate': 6.88888888888889e-06, 'epoch': 1.97}                                                                                       
{'loss': 0.1998, 'grad_norm': 0.09402509033679962, 'learning_rate': 6.666666666666667e-06, 'epoch': 2.0}
{'loss': 0.1534, 'grad_norm': 21.212797164916992, 'learning_rate': 6.444444444444445e-06, 'epoch': 2.03}                                                                                      
{'loss': 0.1755, 'grad_norm': 0.22356699407100677, 'learning_rate': 6.222222222222223e-06, 'epoch': 2.07}                                                                                     
{'loss': 0.1688, 'grad_norm': 0.1409388929605484, 'learning_rate': 6e-06, 'epoch': 2.1}                                                                                                       
{'loss': 0.1788, 'grad_norm': 25.414520263671875, 'learning_rate': 5.777777777777778e-06, 'epoch': 2.13}                                                                                      
{'loss': 0.1642, 'grad_norm': 0.0629282221198082, 'learning_rate': 5.555555555555557e-06, 'epoch': 2.17}                                                                                      
{'loss': 0.1588, 'grad_norm': 2.3511710166931152, 'learning_rate': 5.333333333333334e-06, 'epoch': 2.2}                                                                                       
{'loss': 0.1872, 'grad_norm': 29.506736755371094, 'learning_rate': 5.1111111111111115e-06, 'epoch': 2.23}                                                                                     
{'loss': 0.1424, 'grad_norm': 0.2409144639968872, 'learning_rate': 4.888888888888889e-06, 'epoch': 2.27}                                                                                      
{'loss': 0.1737, 'grad_norm': 0.1426515430212021, 'learning_rate': 4.666666666666667e-06, 'epoch': 2.3}                                                                                       
{'loss': 0.145, 'grad_norm': 0.09396028518676758, 'learning_rate': 4.444444444444444e-06, 'epoch': 2.33}                                                                                      
{'loss': 0.1584, 'grad_norm': 0.31615957617759705, 'learning_rate': 4.222222222222223e-06, 'epoch': 2.37}                                                                                     
{'loss': 0.1749, 'grad_norm': 29.347427368164062, 'learning_rate': 4.000000000000001e-06, 'epoch': 2.4}                                                                                       
{'loss': 0.175, 'grad_norm': 14.766942977905273, 'learning_rate': 3.777777777777778e-06, 'epoch': 2.43}                                                                                       
{'loss': 0.1614, 'grad_norm': 1.9162383079528809, 'learning_rate': 3.555555555555556e-06, 'epoch': 2.47}                                                                                      
{'loss': 0.1706, 'grad_norm': 13.055160522460938, 'learning_rate': 3.3333333333333333e-06, 'epoch': 2.5}                                                                                      
{'loss': 0.1758, 'grad_norm': 0.7166242003440857, 'learning_rate': 3.1111111111111116e-06, 'epoch': 2.53}                                                                                     
{'loss': 0.1529, 'grad_norm': 0.11940000206232071, 'learning_rate': 2.888888888888889e-06, 'epoch': 2.57}                                                                                     
{'loss': 0.1687, 'grad_norm': 28.45676612854004, 'learning_rate': 2.666666666666667e-06, 'epoch': 2.6}                                                                                        
{'loss': 0.1727, 'grad_norm': 0.012699139304459095, 'learning_rate': 2.4444444444444447e-06, 'epoch': 2.63}                                                                                   
{'loss': 0.1759, 'grad_norm': 0.05581315606832504, 'learning_rate': 2.0000000000000003e-06, 'epoch': 2.7}                                                                                     
{'loss': 0.1729, 'grad_norm': 0.23218989372253418, 'learning_rate': 1.777777777777778e-06, 'epoch': 2.73}                                                                                     
{'loss': 0.1565, 'grad_norm': 23.50283432006836, 'learning_rate': 1.5555555555555558e-06, 'epoch': 2.77}                                                                                      
{'loss': 0.1343, 'grad_norm': 40.11502456665039, 'learning_rate': 1.3333333333333334e-06, 'epoch': 2.8}                                                                                       
{'loss': 0.1522, 'grad_norm': 0.6843631267547607, 'learning_rate': 1.111111111111111e-06, 'epoch': 2.83}                                                                                      
{'loss': 0.1478, 'grad_norm': 19.613327026367188, 'learning_rate': 8.88888888888889e-07, 'epoch': 2.87}                                                                                       
{'loss': 0.1667, 'grad_norm': 2.6288695335388184, 'learning_rate': 6.666666666666667e-07, 'epoch': 2.9}                                                                                       
{'loss': 0.1724, 'grad_norm': 22.010358810424805, 'learning_rate': 4.444444444444445e-07, 'epoch': 2.93}                                                                                      
{'loss': 0.1375, 'grad_norm': 0.28290632367134094, 'learning_rate': 2.2222222222222224e-07, 'epoch': 2.97}                                                                                    
{'loss': 0.1731, 'grad_norm': 0.09957250952720642, 'learning_rate': 0.0, 'epoch': 3.0}

{'eval_loss': 0.23768483102321625, 'eval_accuracy': 0.939078947368421, 'eval_precision': 0.9391756508348497, 'eval_recall': 0.939078947368421, 'eval_f1': 0.9390681378448096, 'eval_runtime': 39.8596, 'eval_samples_per_second': 190.669, 'eval_steps_per_second': 23.834, 'epoch': 1.0}
{'eval_loss': 0.26139843463897705, 'eval_accuracy': 0.9432894736842106, 'eval_precision': 0.9432947896807305, 'eval_recall': 0.9432894736842106, 'eval_f1': 0.9432685094667096, 'eval_runtime': 39.6801, 'eval_samples_per_second': 191.532, 'eval_steps_per_second': 23.941, 'epoch': 2.0}
{'eval_loss': 0.2706224024295807, 'eval_accuracy': 0.9473684210526315, 'eval_precision': 0.9474477272135288, 'eval_recall': 0.9473684210526315, 'eval_f1': 0.9473888526386762, 'eval_runtime': 39.9432, 'eval_samples_per_second': 190.27, 'eval_steps_per_second': 23.784, 'epoch': 3.0}
